#;Operadora;Usuario;Simcard;Mensalidade;Data Ativacao;IP;ICCID;Saldo;Consumo;Upload;Download;Ultima Conexao;Atacado;Contrato;IMEI Remoto;Operadora;Substatus;Status
20;Algar;'12112917000167;'5516996852393;7.03;2020-05-21;'10.249.171.13;'89553202000006953507;-4.92913;24.93;0;0;2021-09-30 11:28:40;---;2020-05-21;'355929100102202;OI;Ativo;Ativo
21;Algar;'12112917000167;'5516996857540;7.03;2020-05-21;;'89553202000006953499;20;0;0;0;*****;---;2020-05-21;;;Ativo;Ativo
22;Algar;'12112917000167;'5516996857561;7.03;2020-05-21;'10.249.171.50;'89553202000006953481;18.80875;1.19;0;0;2021-09-30 11:09:03;---;2020-05-21;'356430071313943;CLARO;Ativo;Ativo
23;Algar;'12112917000167;'5516996857524;7.03;2020-05-21;'10.249.171.84;'89553202000006953473;19.01054;0.99;1179;952;2021-09-30 13:59:55;---;2020-05-21;'356428070739001;OI;Ativo;Ativo
24;Algar;'12112917000167;'5516996857516;7.03;2020-05-21;'10.249.171.155;'89553202000006954232;18.94823;1.05;0;0;2021-09-30 15:54:43;---;2020-05-21;'356428070738979;TIM;Ativo;Ativo
25;Algar;'12112917000167;'5516996859211;7.03;2020-05-21;'10.249.171.77;'89553202000006954224;19.732;0.27;2864;1812;2021-09-26 01:56:58;---;2020-05-21;'356428070739324;CLARO;Ativo;Ativo
26;Algar;'12112917000167;'5516996857531;7.03;2020-05-21;'10.249.171.159;'89553202000006954216;19.00617;0.99;1680;1056;2021-09-30 13:59:56;---;2020-05-21;'356428070739050;OI;Ativo;Ativo
27;Algar;'12112917000167;'5516996859220;7.03;2020-05-21;'10.249.171.167;'89553202000006954208;18.67022;1.33;304;112;2021-09-30 15:53:20;---;2020-05-21;'356428070739365;CLARO;Ativo;Ativo
28;Algar;'12112917000167;'5516996859205;7.03;2020-05-21;'10.249.171.93;'89553202000006953697;19.02099;0.98;0;0;2021-09-30 14:17:58;---;2020-05-21;'356428070739035;TIM;Ativo;Ativo
29;Algar;'12112917000167;'5516996859234;7.03;2020-05-21;'10.249.171.144;'89553202000006954943;19.52137;0.48;0;0;2021-09-30 13:57:19;---;2020-05-21;'356428070739068;OI;Ativo;Ativo
30;Algar;'12112917000167;'5516996859198;7.03;2020-05-21;'10.249.171.92;'89553202000006954935;18.92472;1.07;0;0;2021-09-30 13:57:11;---;2020-05-21;'356428070739357;CLARO;Ativo;Ativo
31;Algar;'12112917000167;'5516996857568;7.03;2020-05-21;'10.249.171.88;'89553202000006954927;18.44168;1.56;0;0;2021-09-30 06:27:22;---;2020-05-21;'356428070739027;TIM;Ativo;Ativo
32;Algar;'12112917000167;'5516996852463;7.03;2020-05-21;'10.249.171.143;'89553202000006954919;18.49612;1.5;0;0;2021-09-30 14:15:12;---;2020-05-21;'356429071210059;OI;Ativo;Ativo
33;Algar;'12112917000167;'5516996951601;7.03;2020-01-29 23:00:00;'10.249.93.98;'89553202000006956104;18.99431;1;0;0;2021-09-30 13:57:14;---;0000-00-00 00:00:00;'356430073286071;VIVO;Ativo;Ativo
34;Algar;'12112917000167;'5516996953346;7.03;2020-01-29 23:00:00;'10.249.93.102;'89553202000006956096;18.89582;1.1;1790;320;2021-09-30 15:50:14;---;0000-00-00 00:00:00;'356428070499481;OI;Ativo;Ativo
35;Algar;'12112917000167;'5516996953281;7.03;2020-01-29 23:00:00;'10.249.93.106;'89553202000006956088;19.21958;0.78;0;0;2021-09-30 14:55:56;---;0000-00-00 00:00:00;'356428070489540;VIVO;Ativo;Ativo
36;Algar;'12112917000167;'5516996956965;7.03;2020-01-29 23:00:00;'10.249.93.109;'89553202000006955833;19.5783;0.42;0;0;2021-09-30 10:34:12;---;0000-00-00 00:00:00;'356428070521821;OI;Ativo;Ativo
37;Algar;'12112917000167;'5516996951689;7.03;2020-01-29 23:00:00;'10.249.93.113;'89553202000006955825;19.18871;0.81;0;0;2021-09-30 14:00:24;---;0000-00-00 00:00:00;'356428070489904;VIVO;Ativo;Ativo
38;Algar;'12112917000167;'5516996955210;7.03;2020-01-29 23:00:00;'10.249.93.117;'89553202000006955817;14.55315;5.45;5823;1732;2021-09-30 15:36:14;---;0000-00-00 00:00:00;'358222055901258;CLARO;Ativo;Ativo
39;Algar;'12112917000167;'5516996956844;7.03;2020-01-29 23:00:00;'10.249.93.120;'89553202000006955809;18.56506;1.43;0;0;2021-09-30 14:08:24;---;0000-00-00 00:00:00;'356428070489680;CLARO;Ativo;Ativo
40;Algar;'12112917000167;'5516996958497;7.03;2020-01-29 23:00:00;'10.249.93.123;'89553202000006955791;19.43441;0.56;0;0;2021-09-30 06:02:24;---;0000-00-00 00:00:00;'356428070470458;OI;Ativo;Ativo
41;Algar;'12112917000167;'5516996955151;7.03;2020-01-29 23:00:00;'10.249.93.130;'89553202000006955775;18.0623;1.94;0;0;2021-09-30 10:23:54;---;0000-00-00 00:00:00;'355929100095869;CLARO;Ativo;Ativo
42;Algar;'12112917000167;'5516996958754;7.03;2020-01-29 23:00:00;'10.249.93.134;'89553202000006955767;19.16308;0.84;1772;496;2021-09-30 15:41:22;---;0000-00-00 00:00:00;'356428070489672;OI;Ativo;Ativo
43;Algar;'12112917000167;'5516996953439;7.03;2020-01-29 23:00:00;'10.249.93.137;'89553202000006956005;19.09328;0.91;0;0;2021-09-30 09:17:58;---;0000-00-00 00:00:00;'358222050104650;VIVO;Ativo;Ativo
44;Algar;'12112917000167;'5516996958734;7.03;2020-01-29 23:00:00;'10.249.93.141;'89553202000006955999;19.76171;0.24;0;0;2021-09-30 15:33:25;---;0000-00-00 00:00:00;'358222050991445;OI;Ativo;Ativo
45;Algar;'12112917000167;'5516996957013;7.03;2020-01-29 23:00:00;'10.249.93.145;'89553202000006955981;19.51757;0.48;0;0;2021-09-30 04:11:56;---;0000-00-00 00:00:00;'358222052718358;VIVO;Ativo;Ativo
46;Algar;'12112917000167;'5516996958703;7.03;2020-01-29 23:00:00;;'89553202000006955973;20;0;0;0;*****;---;0000-00-00 00:00:00;;;Ativo;Ativo
47;Algar;'12112917000167;'5516996958788;7.03;2020-01-29 23:00:00;'10.249.93.153;'89553202000006955965;19.16425;0.84;0;0;2021-09-30 15:41:06;---;0000-00-00 00:00:00;'358222056956095;VIVO;Ativo;Ativo
48;Algar;'12112917000167;'5516996951641;7.03;2020-01-29 23:00:00;'10.249.93.157;'89553202000006955957;18.91336;1.09;0;0;2021-09-30 15:34:19;---;0000-00-00 00:00:00;'356428070494185;OI;Ativo;Ativo
49;Algar;'12112917000167;'5516996953477;7.03;2020-01-29 23:00:00;'10.249.93.161;'89553202000006955940;18.8128;1.19;0;0;2021-09-30 08:17:46;---;0000-00-00 00:00:00;'356430071883747;VIVO;Ativo;Ativo
50;Algar;'12112917000167;'5516996852179;7.03;2020-05-21;'10.249.206.209;'89553202000006955932;6.52701;13.47;0;0;2021-09-30 15:48:06;---;2020-05-21;'355929100237388;OI;Ativo;Ativo
51;Algar;'12112917000167;'5516996952435;7.03;2020-01-29 23:00:00;'10.249.165.231;'89553202000006955759;-4.58802;24.59;4342;3656;2021-09-30 15:42:52;---;0000-00-00 00:00:00;'355929100477851;TIM;Ativo;Ativo
52;Algar;'12112917000167;'5516996952445;7.03;2020-01-29 23:00:00;'10.249.93.175;'89553202000006955742;-7.29481;27.29;0;0;2021-09-30 15:12:46;---;0000-00-00 00:00:00;'355929100493544;TIM;Ativo;Ativo
53;Algar;'12112917000167;'5516996952386;7.03;2020-01-29 23:00:00;'10.249.93.179;'89553202000006955734;-5.47419;25.47;0;0;2021-09-30 13:22:50;---;0000-00-00 00:00:00;'355929100465211;OI;Ativo;Ativo
54;Algar;'12112917000167;'5516996954149;7.03;2020-01-29 23:00:00;'10.249.93.184;'89553202000006955726;18.42394;1.58;77729;48030;2021-09-29 18:08:53;---;0000-00-00 00:00:00;'355929100474197;TIM;Ativo;Ativo
55;Algar;'12112917000167;'5516996954166;7.03;2020-01-29 23:00:00;'10.249.93.188;'89553202000006955718;13.82625;6.17;27550;13279;2021-09-30 02:01:22;---;0000-00-00 00:00:00;'355929100473629;OI;Ativo;Ativo
56;Algar;'12112917000167;'5516996954177;7.03;2020-01-29 23:00:00;'10.249.93.192;'89553202000006955700;-3.81647;23.82;0;0;2021-09-30 15:55:43;---;0000-00-00 00:00:00;'355929100427898;TIM;Ativo;Ativo
57;Algar;'12112917000167;'5516996954256;7.03;2020-01-29 23:00:00;'10.249.93.197;'89553202000006955916;-1.91496;21.91;0;0;2021-09-30 14:54:45;---;0000-00-00 00:00:00;'355929100459974;OI;Ativo;Ativo
58;Algar;'12112917000167;'5516996957662;7.03;2020-01-29 23:00:00;'10.249.93.202;'89553202000006955908;-7.69805;27.7;0;0;2021-09-30 13:49:59;---;0000-00-00 00:00:00;'355929100450932;OI;Ativo;Ativo
59;Algar;'12112917000167;'5516996957682;7.03;2020-01-29 23:00:00;'10.249.93.212;'89553202000006955890;-0.64542;20.65;5246;3619;2021-09-30 12:45:50;---;0000-00-00 00:00:00;'355929100497537;CLARO;Ativo;Ativo
60;Algar;'12112917000167;'5516996957672;7.03;2020-01-29 23:00:00;'10.249.93.223;'89553202000006955882;-2.8971;22.9;0;0;2021-09-30 13:30:38;---;0000-00-00 00:00:00;'355929100451583;CLARO;Ativo;Ativo
61;Algar;'12112917000167;'5516999058847;7.34;2019-11-27 23:00:00;'10.249.93.228;'89553202000004334403;16.59882;3.4;1509;1704;2021-09-29 22:04:00;---;0000-00-00 00:00:00;'355929100345249;CLARO;Ativo;Ativo
62;Algar;'12112917000167;'5516999054521;7.34;2019-11-27 23:00:00;'10.249.93.239;'89553202000004334452;-6.0738;26.07;0;0;2021-09-30 08:26:12;---;0000-00-00 00:00:00;'355929100325142;TIM;Ativo;Ativo
63;Algar;'12112917000167;'5516996956892;7.03;2020-01-29 23:00:00;'10.249.93.246;'89553202000006955874;18.87596;1.12;0;0;2021-09-30 15:42:46;---;0000-00-00 00:00:00;'356430074660746;VIVO;Ativo;Ativo
64;Algar;'12112917000167;'5516999056275;7.34;2019-11-27 23:00:00;'10.249.94.8;'89553202000004337026;1.41768;18.58;0;0;2021-09-30 09:58:52;---;0000-00-00 00:00:00;'355929100326819;TIM;Ativo;Ativo
65;Algar;'12112917000167;'5516996957702;7.03;2020-01-29 23:00:00;'10.249.94.15;'89553202000006955866;-8.02282;28.02;0;0;2021-09-30 14:58:58;---;0000-00-00 00:00:00;'355929100463349;TIM;Ativo;Ativo
66;Algar;'12112917000167;'5516999056255;7.34;2019-11-27 23:00:00;'10.249.94.24;'89553202000004336952;-1.54036;21.54;0;0;2021-09-30 15:44:12;---;0000-00-00 00:00:00;'355929100339366;OI;Ativo;Ativo
67;Algar;'12112917000167;'5516999058858;7.34;2019-11-27 23:00:00;'10.249.94.38;'89553202000004337109;18.78214;1.22;0;0;2021-09-30 14:08:47;---;0000-00-00 00:00:00;'356430074669366;OI;Ativo;Ativo
68;Algar;'12112917000167;'5516996957667;7.03;2020-01-29 23:00:00;'10.249.94.40;'89553202000006955858;16.33788;3.66;0;0;2021-09-30 08:37:26;---;0000-00-00 00:00:00;'355929100442103;VIVO;Ativo;Ativo
69;Algar;'12112917000167;'5516999058836;7.34;2019-11-27 23:00:00;'10.249.94.52;'89553202000004337075;19.36497;0.63;0;0;2021-09-30 14:41:02;---;0000-00-00 00:00:00;'358222057603191;TIM;Ativo;Ativo
70;Algar;'12112917000167;'5516996957677;7.03;2020-01-29 23:00:00;'10.249.94.65;'89553202000006955841;-7.08067;27.08;0;0;2021-09-30 15:12:45;---;0000-00-00 00:00:00;'355929100474296;CLARO;Ativo;Ativo
71;Algar;'12112917000167;'5516999058876;7.34;2019-11-27 23:00:00;'10.249.94.67;'89553202000004337158;5.76822;14.23;4141;3902;2021-09-27 21:33:33;---;0000-00-00 00:00:00;'355929100332387;VIVO;Ativo;Ativo
72;Algar;'12112917000167;'5516999054531;7.34;2019-11-27 23:00:00;'10.249.94.80;'89553202000004337018;-7.80317;27.8;0;0;2021-09-30 11:35:39;---;0000-00-00 00:00:00;'355929100331728;TIM;Ativo;Ativo
73;Algar;'12112917000167;'5516996957697;7.03;2020-01-29 23:00:00;'10.249.94.86;'89553202000006956302;18.07028;1.93;0;0;2021-09-30 14:58:28;---;0000-00-00 00:00:00;'358735073733239;OI;Ativo;Ativo
74;Algar;'12112917000167;'5516999056262;7.34;2019-11-27 23:00:00;'10.249.94.92;'89553202000004337034;-4.15612;24.15;0;0;2021-09-30 14:06:37;---;0000-00-00 00:00:00;'355929100333203;VIVO;Ativo;Ativo
75;Algar;'12112917000167;'5516999052769;7.34;2019-11-27 23:00:00;'10.249.94.107;'89553202000004336549;18.64149;1.36;0;0;2021-09-30 14:10:36;---;0000-00-00 00:00:00;'356430071294432;OI;Ativo;Ativo
76;Algar;'12112917000167;'5516999052809;7.34;2019-11-27 23:00:00;'10.249.94.120;'89553202000004336994;19.18209;0.82;0;0;2021-09-30 11:53:30;---;0000-00-00 00:00:00;'355929100105643;OI;Ativo;Ativo
77;Algar;'12112917000167;'5516996957631;7.03;2020-01-29 23:00:00;'10.249.94.123;'89553202000006956286;18.62159;1.38;0;0;2021-09-30 13:57:24;---;0000-00-00 00:00:00;'356428070499341;OI;Ativo;Ativo
78;Algar;'12112917000167;'5516999054485;7.34;2019-11-27 23:00:00;'10.249.94.132;'89553202000004336481;19.1815;0.82;0;0;2021-09-30 11:14:03;---;0000-00-00 00:00:00;'358222055580797;CLARO;Ativo;Ativo
79;Algar;'12112917000167;'5516999052820;7.34;2019-11-27 23:00:00;'10.249.94.153;'89553202000004336515;17.98328;2.02;0;0;2021-09-30 15:58:59;---;0000-00-00 00:00:00;'358735071477961;VIVO;Ativo;Ativo
80;Algar;'12112917000167;'5516996957707;7.03;2020-01-29 23:00:00;'10.249.94.157;'89553202000006956278;19.17972;0.82;0;0;2021-09-30 13:57:11;---;0000-00-00 00:00:00;'356428070519585;OI;Ativo;Ativo
81;Algar;'12112917000167;'5516996959361;7.03;2020-01-29 23:00:00;'10.249.94.183;'89553202000006956260;19.58007;0.42;0;0;2021-09-30 15:26:18;---;0000-00-00 00:00:00;'356428070521698;CLARO;Ativo;Ativo
82;Algar;'12112917000167;'5516999052743;7.34;2019-11-27 23:00:00;'10.249.94.190;'89553202000004336564;18.84733;1.15;0;0;2021-09-30 14:00:15;---;0000-00-00 00:00:00;'356430074669671;TIM;Ativo;Ativo
83;Algar;'12112917000167;'5516999054475;7.34;2019-11-27 23:00:00;'10.249.94.211;'89553202000004336960;12.14577;7.85;0;0;2021-09-30 16:03:40;---;0000-00-00 00:00:00;'355929100333062;OI;Ativo;Ativo
84;Algar;'12112917000167;'5516996959366;7.03;2020-01-29 23:00:00;'10.249.94.221;'89553202000006956252;18.60357;1.4;0;0;2021-09-30 16:02:45;---;0000-00-00 00:00:00;'356428070489714;CLARO;Ativo;Ativo
85;Algar;'12112917000167;'5516999054448;7.34;2019-11-27 23:00:00;'10.249.94.235;'89553202000004336986;19.23799;0.76;0;0;2021-09-30 14:00:15;---;0000-00-00 00:00:00;'356430074669333;CLARO;Ativo;Ativo
86;Algar;'12112917000167;'5516999052753;7.34;2019-11-27 23:00:00;'10.249.95.19;'89553202000004336531;19.62361;0.38;1686;1056;2021-09-30 14:46:27;---;0000-00-00 00:00:00;'356429070506812;TIM;Ativo;Ativo
87;Algar;'12112917000167;'5516996959356;7.03;2020-01-29 23:00:00;'10.249.95.21;'89553202000006956237;19.47199;0.53;0;0;2021-09-30 15:49:12;---;0000-00-00 00:00:00;'356428070470078;CLARO;Ativo;Ativo
88;Algar;'12112917000167;'5516999052760;7.34;2019-11-27 23:00:00;'10.249.95.35;'89553202000004336572;18.98993;1.01;0;0;2021-09-30 12:17:09;---;0000-00-00 00:00:00;'356430071123425;OI;Ativo;Ativo
89;Algar;'12112917000167;'5516996957726;7.03;2020-01-29 23:00:00;'10.249.95.47;'89553202000006956229;19.0665;0.93;1776;484;2021-09-30 15:31:46;---;0000-00-00 00:00:00;'356428070519676;VIVO;Ativo;Ativo
90;Algar;'12112917000167;'5516999051091;7.34;2019-11-27 23:00:00;'10.249.95.54;'89553202000004332795;-7.1537;27.15;0;0;2021-09-30 15:12:45;---;0000-00-00 00:00:00;'355929100470765;CLARO;Ativo;Ativo
91;Algar;'12112917000167;'5516996954261;7.03;2020-01-29 23:00:00;'10.249.95.74;'89553202000006956211;-7.13647;27.14;0;0;2021-09-30 15:12:47;---;0000-00-00 00:00:00;'355929100478115;VIVO;Ativo;Ativo
92;Algar;'12112917000167;'5516999051102;7.34;2019-11-27 23:00:00;'10.249.95.79;'89553202000004332811;19.53979;0.46;0;0;2021-09-30 08:08:36;---;0000-00-00 00:00:00;'356430079272042;TIM;Ativo;Ativo
93;Algar;'12112917000167;'5516999051083;7.34;2019-11-27 23:00:00;'10.249.95.113;'89553202000004336788;19.08206;0.92;0;0;2021-09-30 15:24:52;---;0000-00-00 00:00:00;'356430074643114;OI;Ativo;Ativo
94;Algar;'12112917000167;'5516996954143;7.03;2020-01-29 23:00:00;'10.249.95.105;'89553202000006956203;19.03404;0.97;0;0;2021-09-30 14:47:42;---;0000-00-00 00:00:00;'356430074661124;VIVO;Ativo;Ativo
95;Algar;'12112917000167;'5516999051066;7.34;2019-11-27 23:00:00;'10.249.95.128;'89553202000004336796;19.10993;0.89;0;0;2021-09-30 11:51:38;---;0000-00-00 00:00:00;'358222055893018;OI;Ativo;Ativo
96;Algar;'12112917000167;'5516996954182;7.03;2020-01-29 23:00:00;'10.249.95.143;'89553202000006956195;-3.84669;23.85;0;0;2021-09-30 16:01:25;---;0000-00-00 00:00:00;'355929100486647;OI;Ativo;Ativo
97;Algar;'12112917000167;'5516999051076;7.34;2019-11-27 23:00:00;'10.249.95.152;'89553202000004332696;-6.79242;26.79;0;0;2021-09-30 15:12:46;---;0000-00-00 00:00:00;'355929100417451;TIM;Ativo;Ativo
98;Algar;'12112917000167;'5516996954172;7.03;2020-01-29 23:00:00;'10.249.95.176;'89553202000006956187;18.11052;1.89;0;0;2021-09-29 12:55:09;---;0000-00-00 00:00:00;'355929100420752;VIVO;Ativo;Ativo
99;Algar;'12112917000167;'5516999058758;7.34;2019-11-27 23:00:00;'10.249.95.208;'89553202000004332704;17.83651;2.16;0;0;2021-09-30 15:21:41;---;0000-00-00 00:00:00;'355929100466698;VIVO;Ativo;Ativo
100;Algar;'12112917000167;'5516996954155;7.03;2020-01-29 23:00:00;'10.249.95.215;'89553202000006956179;-5.96133;25.96;0;0;2021-09-30 12:23:48;---;0000-00-00 00:00:00;'355929100459024;TIM;Ativo;Ativo
101;Algar;'12112917000167;'5516999058726;7.34;2019-11-27 23:00:00;'10.249.95.231;'89553202000004332761;-6.41692;26.42;0;0;2021-09-30 08:05:23;---;0000-00-00 00:00:00;'355929100454884;TIM;Ativo;Ativo
102;Algar;'12112917000167;'5516996955892;7.03;2020-01-29 23:00:00;'10.249.96.3;'89553202000006956161;18.50472;1.49;0;0;2021-09-30 15:12:47;---;0000-00-00 00:00:00;'355929100424689;OI;Ativo;Ativo
103;Algar;'12112917000167;'5516999058734;7.34;2019-11-27 23:00:00;'10.249.96.4;'89553202000004337273;18.10607;1.89;0;0;2021-09-30 15:12:08;---;0000-00-00 00:00:00;'351608081014040;VIVO;Ativo;Ativo
104;Algar;'12112917000167;'5516999058770;7.34;2019-11-27 23:00:00;'10.249.96.26;'89553202000004336747;-6.4287;26.43;0;0;2021-09-30 12:44:39;---;0000-00-00 00:00:00;'355929100364646;CLARO;Ativo;Ativo
105;Algar;'12112917000167;'5516999058748;7.34;2019-11-27 23:00:00;'10.249.96.50;'89553202000004332779;20;0;184056;94760;2021-09-10 09:48:13;---;0000-00-00 00:00:00;'355929100432781;TIM;Ativo;Ativo
106;Algar;'12112917000167;'5516996954267;7.03;2020-01-29 23:00:00;'10.249.96.53;'89553202000006956153;18.84109;1.16;0;0;2021-09-30 15:48:38;---;0000-00-00 00:00:00;'356430073278508;OI;Ativo;Ativo
107;Algar;'12112917000167;'5516999057918;7.34;2019-11-27 23:00:00;'10.249.96.75;'89553202000004337299;9.41617;10.58;0;0;2021-09-30 15:41:01;---;0000-00-00 00:00:00;'355929100329805;OI;Ativo;Ativo
108;Algar;'12112917000167;'5516996954187;7.03;2020-01-29 23:00:00;'10.249.96.98;'89553202000006956146;16.37646;3.62;1824;2025;2021-09-17 16:32:50;---;0000-00-00 00:00:00;'355929100452268;OI;Ativo;Ativo
109;Algar;'12112917000167;'5516999057929;7.34;2019-11-27 23:00:00;'10.249.96.101;'89553202000004337307;19.37701;0.62;0;0;2021-09-30 15:15:29;---;0000-00-00 00:00:00;'358222052724018;VIVO;Ativo;Ativo
110;Algar;'12112917000167;'5516996954161;7.03;2020-01-29 23:00:00;'10.249.96.154;'89553202000006956070;19.66791;0.33;7781;3320;2021-09-25 01:56:41;---;0000-00-00 00:00:00;'356430072450850;OI;Ativo;Ativo
111;Algar;'12112917000167;'5516999057947;7.34;2019-11-27 23:00:00;'10.249.96.163;'89553202000004337281;12.45769;7.54;4810;3112;2021-09-29 19:42:28;---;0000-00-00 00:00:00;'355929100333260;OI;Ativo;Ativo
112;Algar;'12112917000167;'5516999057938;7.34;2019-11-27 23:00:00;'10.249.96.196;'89553202000004334486;-7.42562;27.42;0;0;2021-09-30 15:12:47;---;0000-00-00 00:00:00;'355929100341222;OI;Ativo;Ativo
113;Algar;'12112917000167;'5516996955943;7.03;2020-01-29 23:00:00;'10.249.96.213;'89553202000006956062;-5.42893;25.43;0;0;2021-09-30 09:48:20;---;0000-00-00 00:00:00;'355929100422089;VIVO;Ativo;Ativo
114;Algar;'12112917000167;'5516996618771;7.03;2020-01-19 23:00:00;'10.249.96.221;'89553202000006946774;18.16876;1.83;0;0;2021-09-30 06:55:30;---;0000-00-00 00:00:00;'355929100382820;TIM;Ativo;Ativo
115;Algar;'12112917000167;'5516996611912;7.03;2020-01-19 23:00:00;'10.249.97.30;'89553202000006946758;17.90927;2.09;0;0;2021-09-30 12:39:00;---;0000-00-00 00:00:00;'355929100422162;OI;Ativo;Ativo
116;Algar;'12112917000167;'5516996618790;7.03;2020-01-19 23:00:00;'10.249.97.58;'89553202000006946741;16.23008;3.77;0;0;2021-09-30 15:23:40;---;0000-00-00 00:00:00;'355929100430108;CLARO;Ativo;Ativo
117;Algar;'12112917000167;'5516996611897;7.03;2020-01-19 23:00:00;'10.249.97.105;'89553202000006946725;20;0;2074;2073;2021-08-12 08:28:25;---;0000-00-00 00:00:00;'355929100441485;OI;Ativo;Ativo
118;Algar;'12112917000167;'5516996955914;7.03;2020-01-29 23:00:00;'10.249.97.116;'89553202000006956039;18.8693;1.13;9561;2728;2021-09-30 14:55:41;---;0000-00-00 00:00:00;'358222052717939;OI;Ativo;Ativo
119;Algar;'12112917000167;'5516996618759;7.03;2020-01-19 23:00:00;'10.249.97.132;'89553202000006946717;-7.27499;27.27;0;0;2021-09-30 09:46:15;---;0000-00-00 00:00:00;'355929100432849;TIM;Ativo;Ativo
120;Algar;'12112917000167;'5516996955933;7.03;2020-01-29 23:00:00;'10.249.97.150;'89553202000006956021;18.9913;1.01;0;0;2021-09-30 14:18:21;---;0000-00-00 00:00:00;'356430070663405;OI;Ativo;Ativo
121;Algar;'12112917000167;'5516996618777;7.03;2020-01-19 23:00:00;'10.249.97.174;'89553202000006946709;-6.36537;26.36;0;0;2021-09-30 15:12:47;---;0000-00-00 00:00:00;'355929100414508;OI;Ativo;Ativo
